Biophysical Journal,73
Microscopy and Microanalysis,26
The Journal of Neuroscience,15
Current Biology,13
Neuron,12
Nature,9
Methods in Molecular Biology,9
Journal of Visualized Experiments,8
Nature Methods,7
Nature Neuroscience,7
PLoS ONE,6
SSRN Electronic Journal,5
ECS Meeting Abstracts,4
Nature Communications,4
Cell Reports,4
Methods in Enzymology,4
BMC Neuroscience,4
Nature Protocols,4
Annales d'Endocrinologie,3
Proceedings of the National Academy of Sciences,3
Methods in Cell Biology,3
Molecular Cell,3
Mechanisms of Development,3
Angewandte Chemie,3
Neural Development,3
PLoS Biology,3
iScience,2
Journal of Investigative Dermatology,2
Nature Biotechnology,2
BIO-PROTOCOL,2
Confocal Microscopy,2
PLOS Biology,2
Nature Reviews Neuroscience,2
Cell,2
Cold Spring Harbor Symposia on Quantitative Biology,2
eLife,2
Acta Crystallographica Section A Foundations and Advances,2
The Journal of Immunology,2
eneuro,2
Cerebral Cortex,2
Developmental Cell,2
Cold Spring Harbor Protocols,2
Structure,2
Journal of Clinical Investigation,2
Evolution,2
ChemBioChem,2
Journal of Biological Chemistry,2
Lab Animal,2
Frontiers in Microbiology,2
PLoS Computational Biology,2
Neuroscience Research,2
NeuroImage,1
Behavioral Ecology and Sociobiology,1
Frontiers in Systems Neuroscience,1
Frontiers in Artificial Intelligence,1
Frontiers in Science,1
Spectrum,1
Nature Reviews Methods Primers,1
Free Radical Biology and Medicine,1
Scientific Reports,1
Frontiers in Bioinformatics,1
Physical Review Research,1
Frontiers in Computer Science,1
Nature Medicine,1
JCI Insight,1
STAR Protocols,1
Progress in Neuro-Psychopharmacology and Biological Psychiatry,1
Nature Reviews Molecular Cell Biology,1
Stem Cell Reports,1
Nature Nanotechnology,1
Cancer Research,1
Neurology,1
Frontiers in Cellular Neuroscience,1
Journal of Cell Biology,1
Science,1
Nature Materials,1
Nanoscale Advances,1
Biomedical Optics Express,1
Cell and Gene Therapy Insights,1
Data in Brief,1
Biological Psychiatry,1
Nature Human Behaviour,1
IBRO Reports,1
Origins of Life and Evolution of Biospheres,1
Current Opinion in Neurobiology,1
The American Journal of Human Genetics,1
Graefe's Archive for Clinical and Experimental Ophthalmology,1
Aging and disease,1
Journal of Bioenergetics and Biomembranes,1
PLOS ONE,1
Journal of Synchrotron Radiation,1
Neuroimaging Clinics of North America,1
PLOS Computational Biology,1
Cell Research,1
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,1
SOJ Microbiology &amp; Infectious Diseases,1
Journal of Applied Crystallography,1
Current Topics in Developmental Biology,1
Reviews of Modern Physics,1
Prion,1
Biosensors and Bioelectronics,1
eNeuro,1
The American Journal of Bioethics,1
Indian Journal of Dermatology,1
Neuroscience,1
Journal of Vision,1
Cell Host &amp; Microbe,1
Integrative and Comparative Biology,1
Computational Particle Mechanics,1
Current Opinion in Genetics &amp; Development,1
Human Molecular Genetics,1
Journal of Cell Science,1
Medical Image Computing and Computer-Assisted Intervention – MICCAI 2014,1
Brain, Behavior and Evolution,1
BMC Genomics,1
Nature Structural &amp; Molecular Biology,1
RNA Biology,1
Journal of Neuroscience,1
EvoDevo,1
Biochimie,1
Optics Express,1
Chromosoma,1
Developmental Dynamics,1
Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms,1
The Anatomical Record,1
Journal of Comparative Neurology,1
Journal of Comparative Physiology A,1
Advances in Experimental Medicine and Biology,1
Progress in Brain Research,1
European Journal of Neuroscience,1
EMBO Molecular Medicine,1
IEEE Transactions on Neural Systems and Rehabilitation Engineering,1
Addiction Biology,1
Appetite,1
Epilepsy Research,1
Standards in Genomic Sciences,1
Frontiers in Neuroscience,1
Mol. BioSyst.,1
International Review of Neurobiology,1
Journal of Insect Physiology,1
The Biological Bulletin,1
PLoS Genetics,1
Development Genes and Evolution,1
Protein Engineering Design and Selection,1
Advances in Genetics,1
Developmental Biology,1
Blood Coagulation &amp; Fibrinolysis,1
IEEE Transactions on Information Technology in Biomedicine,1
IEEE Transactions on Biomedical Engineering,1
Protein Science,1
BMC Cell Biology,1
Genome Biology,1
